brand,model,desc,base,shape,price,p,lm_prc,lm,eff,eq,color,cri,angle,flicker,rating,war,hash_id,color_from_desc,lm_from_desc,w_from_desc
iSvet,USL-104-7-6,6500K 12000lm 150W,no,Flood,6115.0,141.2,,,0,,6167.0,84,,0.0,4.5,24.0,b7bb2bfe207e1aac735a2b223b1e9e3d-24,6500.0,12000.0,150.0
iSvet,USL-104-6-6,6500K 8000lm 100W,no,Flood,3004.0,92.2,,,0,,6172.0,84,,0.0,4.5,24.0,b7bb2bfe207e1aac735a2b223b1e9e3d-25,6500.0,8000.0,100.0
iSvet,USL-104-4-6,6500K 4000lm 50W,no,Flood,1403.0,46.4,,,0,,6246.0,85,,0.0,4.5,24.0,b7bb2bfe207e1aac735a2b223b1e9e3d-26,6500.0,4000.0,50.0
iSvet,USL-104-3-6,6500K 2400lm 30W,no,Flood,992.0,29.4,,,0,,6087.0,84,,1.0,4.5,24.0,b7bb2bfe207e1aac735a2b223b1e9e3d-27,6500.0,2400.0,30.0
iSvet,USL-104-2-6,6500K 1600lm 20W,no,Flood,811.0,19.0,,,0,,6430.0,86,,1.0,4.5,24.0,b7bb2bfe207e1aac735a2b223b1e9e3d-28,6500.0,1600.0,20.0
iSvet,USL-104-1-6,6500K 800lm 10W,no,Flood,499.0,9.7,,,0,,6633.0,84,,0.0,4.5,24.0,b7bb2bfe207e1aac735a2b223b1e9e3d-29,6500.0,800.0,10.0
Lexman,LCLBF75 6W/827230V FIL FR E14 Ledvance,2700K 750lm 6W M F,E14,Candle,116.0,6.0,106.0,796.0,133,75.0,2675.0,84,,0.0,4.5,60.0,b7bb2bfe207e1aac735a2b223b1e9e3d-30,2700.0,750.0,6.0
Lexman,LCLBF75 6W/827230V FIL CL E14 Ledvance,2700K 750lm 6W F,E14,Candle,121.0,6.0,112.0,839.0,141,80.0,2580.0,84,,0.0,4.5,60.0,b7bb2bfe207e1aac735a2b223b1e9e3d-31,2700.0,750.0,6.0
Lexman,LCLB60 5W/827 230V FIL CL E14 Ledvance,2700K 600lm 4.9W F,E14,Candle,100.0,5.0,101.0,604.0,122,65.0,2581.0,84,,0.0,4.5,60.0,b7bb2bfe207e1aac735a2b223b1e9e3d-32,2700.0,600.0,9.0
Lexman,LCLB40 4W/840 230V FIL FR E14 Ledvance,4000K 500lm 3.8W M F,E14,Candle,88.0,4.1,94.0,470.0,115,50.0,3870.0,83,,0.0,4.4,60.0,b7bb2bfe207e1aac735a2b223b1e9e3d-33,4000.0,500.0,8.0
